
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1946-01-09 | 3 | `@when` outside of volume date range | <ul><li>January 9, 1946</li><li>January 9, 1946</li><li>9 January, 1946</li></ul> | <ul><li>1945</li><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v03/d484</li><li>https://history.state.gov/historicaldocuments/frus1945v03/d485</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d851</li></ul>
 1946-01-11 | 3 | `@when` outside of volume date range | <ul><li>January 11, 1946</li><li>January 11, 1946—5 p.m.</li><li>January 11, 1946—11 p.m.</li></ul> | <ul><li>1945</li><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v06/d100</li><li>https://history.state.gov/historicaldocuments/frus1945v02/d576</li><li>https://history.state.gov/historicaldocuments/frus1945v06/d101</li></ul>
 1946-01-12 | 3 | `@when` outside of volume date range | <ul><li>January 12, 1946</li><li>January 12, 1946—10 a.m.</li><li>January 12, 1946—2 p.m.</li></ul> | <ul><li>1945</li><li>1945</li><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v03/d683</li><li>https://history.state.gov/historicaldocuments/frus1945v02/d684</li><li>https://history.state.gov/historicaldocuments/frus1945v03/d1147</li></ul>
 1947-01-05 | 3 | `@when` outside of volume date range | <ul><li>5 January 1947</li><li>5 January 1947</li><li>5 January 1947</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d365</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d366</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d367</li></ul>
 1947-01-08 | 3 | `@when` outside of volume date range | <ul><li>January 8, 1947</li><li>8 January 1947</li><li>January 8, 1947—7 p.m.</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v06/d253</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d374</li><li>https://history.state.gov/historicaldocuments/frus1946v07/d25</li></ul>
 1947-01-09 | 3 | `@when` outside of volume date range | <ul><li>9 January 1947</li><li>January 9, 1947</li><li>January 9, 1947</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d375</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d376</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d377</li></ul>
 1947-01-10 | 3 | `@when` outside of volume date range | <ul><li>January 10, 1947</li><li>January 10, 1947</li><li>January 10, 1947—noon</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v10/d378</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d379</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d380</li></ul>
 1947-02-04 | 3 | `@when` outside of volume date range | <ul><li>February 4, 1947</li><li>February 4, 1947</li><li>February 4, 1947</li></ul> | <ul><li>1946</li><li>1946</li><li>1946</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1946v05/d587</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d394</li><li>https://history.state.gov/historicaldocuments/frus1946v10/d395</li></ul>
 1947-11-28 | 3 | `@when` outside of volume date range | <ul><li>November 28, 1947.</li><li>November 28, 1947.</li><li>November 28, 1947</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d441</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d442</li><li>https://history.state.gov/historicaldocuments/frus1948v09/d2</li></ul>
 1947-12-05 | 3 | `@when` outside of volume date range | <ul><li>December 5, 1947.</li><li>December 5, 1947—11 a. m.</li><li>December 5, 1947—6 p. m.</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d446</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d448</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d447</li></ul>
 1947-12-08 | 3 | `@when` outside of volume date range | <ul><li>December 8, 1947</li><li>December 8, 1947—11 a. m.</li><li>December 8, 1947—6 p. m.</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v04/d326</li><li>https://history.state.gov/historicaldocuments/frus1948v05p1/d152</li><li>https://history.state.gov/historicaldocuments/frus1948v01p2/d127</li></ul>
 1947-12-09 | 3 | `@when` outside of volume date range | <ul><li>December 9, 1947.</li><li>December 9, 1947—6 p. m.</li><li>December 9, 1947—8 p. m.</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d453</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d451</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d452</li></ul>
 1947-12-17 | 3 | `@when` outside of volume date range | <ul><li>December 17, 1947.</li><li>December 17, 1947</li><li>December 17, 1947—4 p. m.</li></ul> | <ul><li>1948</li><li>1948</li><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v01p1/d148</li><li>https://history.state.gov/historicaldocuments/frus1948v04/d328</li><li>https://history.state.gov/historicaldocuments/frus1948v03/d462</li></ul>
 1950-12-11 | 3 | `@when` outside of volume date range | <ul><li>11 December 1950</li><li>11 December 1950</li><li>December 11, 1950</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v01/d2</li><li>https://history.state.gov/historicaldocuments/frus1951v01/d3</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d595</li></ul>
 1950-12-29 | 3 | `@when` outside of volume date range | <ul><li>December 29, 1950</li><li>December 29, 1950.</li><li>December 29, 1950—8 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v05/d572</li><li>https://history.state.gov/historicaldocuments/frus1951v05/d683</li><li>https://history.state.gov/historicaldocuments/frus1951v03p1/d212</li></ul>
 1951-01-06 | 3 | `@when` outside of volume date range | <ul><li>January 6, 1951</li><li>January 6, 1951—3 p. m.</li><li>January 6, 1951—4 p. m.</li></ul> | <ul><li>1950</li><li>1950</li><li>1950</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1950v02/d421</li><li>https://history.state.gov/historicaldocuments/frus1950v06/d379</li><li>https://history.state.gov/historicaldocuments/frus1950v04/d393</li></ul>
 1952-01-05 | 3 | `@when` outside of volume date range | <ul><li>January 5, 1952</li><li>January 5, 1952.</li><li>January 5, 1952—10 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v01/d707</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d299</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d300</li></ul>
 1952-01-10 | 3 | `@when` outside of volume date range | <ul><li>January 10, 1952</li><li>January 10, 1952.</li><li>January 10, 1952—5 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d568</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d632</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d511</li></ul>
 1952-01-17 | 3 | `@when` outside of volume date range | <ul><li>January 17, 1952</li><li>January 17, 1952—8 p. m.</li><li>January 17, 1952—11 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v04p1/d83</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d495</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d309</li></ul>
 1905-05-04 | 2 | `@when` outside of volume date range | <ul><li>1951.</li><li>1951.</li></ul> | <ul><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v06p1/d552</li><li>https://history.state.gov/historicaldocuments/frus1951v06p1/d553</li></ul>
 1914-12-21 | 2 | `@when` outside of volume date range | <ul><li>December 21, 1914.</li><li>December 21, 1914, 6 p. m.</li></ul> | <ul><li>1915</li><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d392</li><li>https://history.state.gov/historicaldocuments/frus1915Supp/d438</li></ul>
 1914-12-28 | 2 | `@when` outside of volume date range | <ul><li>December 28, 1914.</li><li>December 28, 1914</li></ul> | <ul><li>1915</li><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1298</li><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1433</li></ul>
 1914-12-30 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1914.</li><li>December 30, 1914.</li></ul> | <ul><li>1915</li><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1277</li><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1417</li></ul>
 1915-12-08 | 2 | `@when` outside of volume date range | <ul><li>December 8, 1915</li><li>December 8, 1915, 5 p. m.</li></ul> | <ul><li>1916</li><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d1191</li><li>https://history.state.gov/historicaldocuments/frus1916Supp/d702</li></ul>
 1915-12-27 | 2 | `@when` outside of volume date range | <ul><li>December 27, 1915</li><li>December 27, 1915, 4 p. m.</li></ul> | <ul><li>1916</li><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d1288</li><li>https://history.state.gov/historicaldocuments/frus1916Supp/d734</li></ul>
 1915-12-28 | 2 | `@when` outside of volume date range | <ul><li>December 28, 1915</li><li>December 28, 1915, 6 p. m.</li></ul> | <ul><li>1916</li><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d912</li><li>https://history.state.gov/historicaldocuments/frus1916Supp/d708</li></ul>
 1915-12-29 | 2 | `@when` outside of volume date range | <ul><li>December 29, 1915</li><li>December 29, 1915</li></ul> | <ul><li>1916</li><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d442</li><li>https://history.state.gov/historicaldocuments/frus1916Supp/d447</li></ul>
 1915-12-30 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1915</li><li>December 30, 1915</li></ul> | <ul><li>1916</li><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d913</li><li>https://history.state.gov/historicaldocuments/frus1916Supp/d1062</li></ul>
 1916-01-07 | 2 | `@when` outside of volume date range | <ul><li>January 7, 1916.</li><li>January 7, 1916.</li></ul> | <ul><li>1915</li><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1164</li><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1205</li></ul>
 1916-01-13 | 2 | `@when` outside of volume date range | <ul><li>January 13, 1916.</li><li>January 13, 1916.</li></ul> | <ul><li>1915</li><li>1915</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1915Supp/d912</li><li>https://history.state.gov/historicaldocuments/frus1915Supp/d1039</li></ul>
 1917-01-24T19:00:00 | 2 | `@when` outside of volume date range | <ul><li>January 24, 1917, 7 p. m.</li><li>January 24, 1917, 7 p. m.</li></ul> | <ul><li>1916</li><li>1916</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1916Supp/d696</li><li>https://history.state.gov/historicaldocuments/frus1916Supp/d772</li></ul>
 1936-11-16 | 2 | `@when` outside of volume date range | <ul><li>November 16, 1936</li><li>November 16, 1936—4 p.m.</li></ul> | <ul><li>1937</li><li>1937</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v02/d136</li><li>https://history.state.gov/historicaldocuments/frus1937v02/d137</li></ul>
 1936-11-20 | 2 | `@when` outside of volume date range | <ul><li>November 20, 1936</li><li>November 20, 1936</li></ul> | <ul><li>1937</li><li>1937</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v02/d289</li><li>https://history.state.gov/historicaldocuments/frus1937v02/d458</li></ul>
 1936-12-30 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1936</li><li>December 30, 1936</li></ul> | <ul><li>1937</li><li>1937</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v05/d491</li><li>https://history.state.gov/historicaldocuments/frus1937v05/d604</li></ul>
 1937-01-12 | 2 | `@when` outside of volume date range | <ul><li>January 12, 1937</li><li>January 12, 1937—7 p.m.</li></ul> | <ul><li>1936</li><li></li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1936v04/d460</li><li>https://history.state.gov/historicaldocuments/frus1936v01/d690</li></ul>
 1937-12-14 | 2 | `@when` outside of volume date range | <ul><li>December 14, 1937</li><li>December 14, 1937</li></ul> | <ul><li>1938</li><li>1938</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1938v05/d648</li><li>https://history.state.gov/historicaldocuments/frus1938v05/d717</li></ul>
 1937-12-22 | 2 | `@when` outside of volume date range | <ul><li>December 22, 1937</li><li>December 22, 1937—1 p.m.</li></ul> | <ul><li>1938</li><li>1938</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1938v05/d402</li><li>https://history.state.gov/historicaldocuments/frus1938v05/d576</li></ul>
 1937-12-27 | 2 | `@when` outside of volume date range | <ul><li>December 27, 1937</li><li>December 27, 1937—noon</li></ul> | <ul><li>1938</li><li>1938</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1938v05/d544</li><li>https://history.state.gov/historicaldocuments/frus1938v05/d578</li></ul>
 1938-01-03 | 2 | `@when` outside of volume date range | <ul><li>January 3, 1938</li><li>January 3, 1938</li></ul> | <ul><li>1937</li><li>1937</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v02/d501</li><li>https://history.state.gov/historicaldocuments/frus1937v02/d620</li></ul>
 1938-01-11 | 2 | `@when` outside of volume date range | <ul><li>January 11, 1938</li><li>January 11, 1938</li></ul> | <ul><li>1937</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1937v05/d340</li><li>https://history.state.gov/historicaldocuments/frus1939v02/d137</li></ul>
 1938-03-05 | 2 | `@when` outside of volume date range | <ul><li>March 5, 1938</li><li>March 5, 1938—4 p.m.</li></ul> | <ul><li>1939</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v02/d147</li><li>https://history.state.gov/historicaldocuments/frus1939v02/d148</li></ul>
 1938-03-17T19:00:00 | 2 | `@when` outside of volume date range | <ul><li>March 17, 1938—7 p.m.</li><li>March 17, 1938—7 p.m.</li></ul> | <ul><li>1939</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v02/d155</li><li>https://history.state.gov/historicaldocuments/frus1939v02/d156</li></ul>
 1938-10-17 | 2 | `@when` outside of volume date range | <ul><li>October 17, 1938</li><li>October 17, 1938</li></ul> | <ul><li>1939</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v02/d35</li><li>https://history.state.gov/historicaldocuments/frus1939v02/d163</li></ul>
 1938-12-30 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1938</li><li>December 30, 1938</li></ul> | <ul><li>1939</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v02/d313</li><li>https://history.state.gov/historicaldocuments/frus1939v05/d668</li></ul>
 1939-01-14 | 2 | `@when` outside of volume date range | <ul><li>January 14, 1939.</li><li>January 14, 1939—3 p.m.</li></ul> | <ul><li>1938</li><li>1938</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1938v05/d768</li><li>https://history.state.gov/historicaldocuments/frus1938v02/d607</li></ul>
 1939-01-20 | 2 | `@when` outside of volume date range | <ul><li>January 20, 1939</li><li>January 20, 1939</li></ul> | <ul><li>1938</li><li>1938</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1938v02/d608</li><li>https://history.state.gov/historicaldocuments/frus1938v02/d609</li></ul>
 1939-09-23 | 2 | `@when` outside of volume date range | <ul><li>September 23, 1939</li><li>September 23, 1939—1 p.m.</li></ul> | <ul><li>1940</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v03/d379</li><li>https://history.state.gov/historicaldocuments/frus1941v01/d220</li></ul>
 1939-12-27 | 2 | `@when` outside of volume date range | <ul><li>December 27, 1939</li><li>December 27, 1939—4 p.m.</li></ul> | <ul><li>1940</li><li>1940</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1940v05/d1133</li><li>https://history.state.gov/historicaldocuments/frus1940v03/d586</li></ul>
 1940-01-02T20:00:00 | 2 | `@when` outside of volume date range | <ul><li>January 2, 1940—8 p.m.</li><li>January 2, 1940—8 p.m.</li></ul> | <ul><li>1939</li><li>1939</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1939v05/d304</li><li>https://history.state.gov/historicaldocuments/frus1939v05/d305</li></ul>
 1940-08-07 | 2 | `@when` outside of volume date range | <ul><li>August 7, 1940</li><li>August 7, 1940</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d229</li><li>https://history.state.gov/historicaldocuments/frus1941v01/d230</li></ul>
 1940-12-04 | 2 | `@when` outside of volume date range | <ul><li>December 4, 1940</li><li>December 4, 1940—noon</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v07/d369</li><li>https://history.state.gov/historicaldocuments/frus1941v03/d691</li></ul>
 1940-12-14 | 2 | `@when` outside of volume date range | <ul><li>December 14, 1940</li><li>December 14, 1940—4 p.m.</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d551</li><li>https://history.state.gov/historicaldocuments/frus1941v01/d887</li></ul>
 1941-12-06 | 2 | `@when` outside of volume date range | <ul><li>December 6, 1941</li><li>December 6, 1941—9 p.m.</li></ul> | <ul><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d356</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d321</li></ul>
 1941-12-15T18:00:00 | 2 | `@when` outside of volume date range | <ul><li>December 15, 1941—6 p.m.</li><li>December 15, 1941—6 p.m.</li></ul> | <ul><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d771</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d772</li></ul>
 1941-12-25 | 2 | `@when` outside of volume date range | <ul><li>December 25, 1941</li><li>December 25, 1941—3 p.m.</li></ul> | <ul><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d223</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d5</li></ul>
 1942-01-06 | 2 | `@when` outside of volume date range | <ul><li>January 6, 1942</li><li>January 6, 1942</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d178</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d179</li></ul>
 1942-01-07 | 2 | `@when` outside of volume date range | <ul><li>January 7, 1942</li><li>January 7, 1942 [1943]—9 p.m.</li></ul> | <ul><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941v01/d362</li><li>https://history.state.gov/historicaldocuments/frus1943v02/d667</li></ul>
 1942-01-15 | 2 | `@when` outside of volume date range | <ul><li>January 15, 1942</li><li>January 15 [14?],The telegram was evidently drafted on or before January 14, Churchill’s final day at the Conference, for dispatch on January 15.1942</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d113</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d245</li></ul>
 1942-06-19 | 2 | `@when` outside of volume date range | <ul><li>June 19, 1942</li><li>June 19, 1942</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d264</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d292</li></ul>
 1942-11-26 | 2 | `@when` outside of volume date range | <ul><li>November 26, 1942</li><li>November 26, 1942</li></ul> | <ul><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d312</li><li>https://history.state.gov/historicaldocuments/frus1943v03/d961</li></ul>
 1942-12-02 | 2 | `@when` outside of volume date range | <ul><li>December 2, 1942</li><li>December 2, 1942</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d313</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d314</li></ul>
 1942-12-03 | 2 | `@when` outside of volume date range | <ul><li>December 3, 1942</li><li>December 3, 1942</li></ul> | <ul><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d315</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d180</li></ul>
 1942-12-04 | 2 | `@when` outside of volume date range | <ul><li>December 4, 1942</li><li>December 4, 1942</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d442</li><li>https://history.state.gov/historicaldocuments/frus1943v02/d282</li></ul>
 1942-12-08 | 2 | `@when` outside of volume date range | <ul><li>December 8, 1942</li><li>December 8, 1942</li></ul> | <ul><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d317</li><li>https://history.state.gov/historicaldocuments/frus1943v01/d481</li></ul>
 1942-12-09T21:00:00 | 2 | `@when` outside of volume date range | <ul><li>December 9, 1942—9 p.m.</li><li>December 9, 1942—9 p.m.</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d533</li><li>https://history.state.gov/historicaldocuments/frus1943China/d534</li></ul>
 1942-12-17 | 2 | `@when` outside of volume date range | <ul><li>December 17, 1942</li><li>December 17, 1942</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v06/d129</li><li>https://history.state.gov/historicaldocuments/frus1943v06/d326</li></ul>
 1942-12-22 | 2 | `@when` outside of volume date range | <ul><li>December 22, 1942</li><li>December 22, 1942</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d444</li><li>https://history.state.gov/historicaldocuments/frus1943v06/d53</li></ul>
 1942-12-26 | 2 | `@when` outside of volume date range | <ul><li>December 26, 1942</li><li>December 26, 1942—3 p.m.</li></ul> | <ul><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d399</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d1142</li></ul>
 1942-12-30 | 2 | `@when` outside of volume date range | <ul><li>December 30, 1942</li><li>December 30, 1942</li></ul> | <ul><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d322</li><li>https://history.state.gov/historicaldocuments/frus1943v05/d704</li></ul>
 1943-01-07 | 2 | `@when` outside of volume date range | <ul><li>January 7, 1943</li><li>January 7, 1943</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d329</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d330</li></ul>
 1943-01-08 | 2 | `@when` outside of volume date range | <ul><li>January 8, 1943</li><li>January 8, 1943 [1944]—4 p.m.</li></ul> | <ul><li>1941</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d402</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d1107</li></ul>
 1943-01-16 | 2 | `@when` outside of volume date range | <ul><li>January 16, 1943</li><li>January 16, 1943</li></ul> | <ul><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d426</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d427</li></ul>
 1943-02-01 | 2 | `@when` outside of volume date range | <ul><li>February 1, 1943</li><li>February 1, 1943</li></ul> | <ul><li>1941</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d443</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d418</li></ul>
 1943-06-10 | 2 | `@when` outside of volume date range | <ul><li>June 10, 1943</li><li>June 10, 1943—9 a.m.</li></ul> | <ul><li>1945</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v02/d762</li><li>https://history.state.gov/historicaldocuments/frus1942v03/d653</li></ul>
 1943-12-07 | 2 | `@when` outside of volume date range | <ul><li>December 7, 1943</li><li>December 7, 1943</li></ul> | <ul><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d2</li><li>https://history.state.gov/historicaldocuments/frus1944v07/d1457</li></ul>
 1943-12-10 | 2 | `@when` outside of volume date range | <ul><li>December 10, 1943</li><li>December 10, 1943—7 p.m.</li></ul> | <ul><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d1181</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d1085</li></ul>
 1943-12-16 | 2 | `@when` outside of volume date range | <ul><li>December 16, 1943</li><li>December 16, 1943—9 p.m.</li></ul> | <ul><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d870</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d134</li></ul>
 1943-12-29 | 2 | `@when` outside of volume date range | <ul><li>December 29, 1943</li><li>December 29, 1943—noon</li></ul> | <ul><li>1944</li><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d376</li><li>https://history.state.gov/historicaldocuments/frus1944v03/d1086</li></ul>
 1944-01-04 | 2 | `@when` outside of volume date range | <ul><li>January 4, 1944</li><li>January 4, 1944</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v01/d217</li><li>https://history.state.gov/historicaldocuments/frus1943v03/d649</li></ul>
 1944-01-07 | 2 | `@when` outside of volume date range | <ul><li>7 January 1944</li><li>January 7, 1944</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d541</li><li>https://history.state.gov/historicaldocuments/frus1943v04/d16</li></ul>
 1944-01-11 | 2 | `@when` outside of volume date range | <ul><li>January 11, 1944</li><li>January 11, 1944</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d544</li><li>https://history.state.gov/historicaldocuments/frus1943v06/d239</li></ul>
 1944-01-14 | 2 | `@when` outside of volume date range | <ul><li>14 January 1944</li><li>14 January 1944</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d546</li><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d547</li></ul>
 1944-03-04 | 2 | `@when` outside of volume date range | <ul><li>4 March 1944</li><li>4 March 1944</li></ul> | <ul><li>1943</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d557</li><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d558</li></ul>
