
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1942-01-10 | 8 | `@when` outside of volume date range | <ul><li>January10, 1942</li><li>January 10, 1942</li><li>January 10, 1942</li><li>January 10, 1942</li><li>January10, 1942</li><li>January 10, 1942</li><li>January 10, 1942</li><li>January 10, 1942—1 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d99</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d117</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d182</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d183</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d184</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d205</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d206</li><li>https://history.state.gov/historicaldocuments/frus1941v01/d816</li></ul>
 1952-01-02 | 8 | `@when` outside of volume date range | <ul><li>January 2, 1952</li><li>January 2, 1952</li><li>January 2, 1952</li><li>January 2, 1952</li><li>January 2, 1952—6 p. m.</li><li>January 2, 1952—6:40 p. m</li><li>January 2, 1952—7:02 p.m.</li><li>January 2, 1952—11 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d537</li><li>https://history.state.gov/historicaldocuments/frus1951v06p1/d122</li><li>https://history.state.gov/historicaldocuments/frus1951v06p1/d123</li><li>https://history.state.gov/historicaldocuments/frus1951v06p1/d168</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d538</li><li>https://history.state.gov/historicaldocuments/frus1951v01/d673</li><li>https://history.state.gov/historicaldocuments/frus1951v04p2/d59</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d565</li></ul>
 1952-01-23 | 8 | `@when` outside of volume date range | <ul><li>January 23, 1952</li><li>January 23, 1952</li><li>January 23, 1952.</li><li>January 23, 1952—1 p. m.</li><li>January 23, 1952—2 p. m.</li><li>January 23, 1952—6:17 p. m.</li><li>January 23, 1952—7:21 p. m.</li><li>January 23, 1952—7:21 p. m.</li></ul> | <ul><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li><li>1951</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1951v02/d320</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d321</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d324</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d319</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d318</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d532</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d322</li><li>https://history.state.gov/historicaldocuments/frus1951v02/d323</li></ul>
 1941-12-19 | 7 | `@when` outside of volume date range | <ul><li>December 19, 1941</li><li>December 19, 1941</li><li>December 19, 1941</li><li>December19, 1941</li><li>December19, 1941</li><li>December 19, 1941</li><li>December 19, 1941</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d1</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d2</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d3</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d4</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d5</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d219</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d220</li></ul>
 1942-01-09 | 7 | `@when` outside of volume date range | <ul><li>January 9, 1942</li><li>January 9, 1942</li><li>January 9, 1942</li><li>January 9, 1942</li><li>January 9, 1942</li><li>January 9, 1942</li><li>January 9, 1942 [1943]—9 p.m.</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d180</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d181</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d203</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d204</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d240</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d241</li><li>https://history.state.gov/historicaldocuments/frus1943v05/d152</li></ul>
 1942-01-13 | 7 | `@when` outside of volume date range | <ul><li>January 13, 1942</li><li>January13, 1942</li><li>January [13], 1942</li><li>January 13, 1942</li><li>January 13, 1942</li><li>January 13, 1942</li><li>January 13, 1942</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d107</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d109</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d120</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d143</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d186</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d210</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d244</li></ul>
 1943-01-19 | 7 | `@when` outside of volume date range | <ul><li>January 19, 1943</li><li>January 19, 1943</li><li>19 January 1943</li><li>January 19, 1943</li><li>January 19, 1943</li><li>January 19, 1943</li><li>January 19, 1943</li></ul> | <ul><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d357</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d358</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d360</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d361</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d408</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d435</li><li>https://history.state.gov/historicaldocuments/frus1941-43/d436</li></ul>
 1941-12-18 | 6 | `@when` outside of volume date range | <ul><li>December 18, 1941</li><li>December 18, 1941</li><li>December 18, 1941</li><li>December 18, 1941</li><li>December 18, 1941</li><li>December 18, 1941—10 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d218</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d315</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d674</li><li>https://history.state.gov/historicaldocuments/frus1942v02/d815</li><li>https://history.state.gov/historicaldocuments/frus1942v03/d31</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d809</li></ul>
 1941-12-26 | 6 | `@when` outside of volume date range | <ul><li>December 26, 1941</li><li>December 26, 1941</li><li>December 26, 1941</li><li>December 26, 1941</li><li>December 26, 1941—11 a.m.</li><li>December 26, 1941—7 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d172</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d224</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d316</li><li>https://history.state.gov/historicaldocuments/frus1942v06/d496</li><li>https://history.state.gov/historicaldocuments/frus1942v04/d34</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d478</li></ul>
 1941-12-29 | 6 | `@when` outside of volume date range | <ul><li>December 29, 1941</li><li>December 29, 1941</li><li>December 29, 1941</li><li>December 29, 1941</li><li>December 29, 1941—1 p.m.</li><li>December 29, 1941—2 p.m.</li></ul> | <ul><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v01/d11</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d12</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d13</li><li>https://history.state.gov/historicaldocuments/frus1942v01/d810</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d6</li><li>https://history.state.gov/historicaldocuments/frus1942v05/d7</li></ul>
